customer_id,customer_name,gender,city,state,signup_date,membership,age
C00001,Sourabh,Male,Mangaluru,KA,2024-04-06,Silver,22
C00002,Sharda,Female,Jalandhar,PB,2025-05-28,None,65
C00003,Arafat,Male,Vasai,MH,2023-12-26,Platinum,27
C00004,Nitesh,Male,Dadar,MH,2023-11-13,None,56
C00005,Prince,Male,Belagavi,KA,2024-08-28,Silver,55
C00006,Sourabh,Male,Patiala,PB,2024-06-24,Gold,28
C00007,Anamika,Female,Jalandhar,PB,2025-01-15,Silver,68
C00008,Brijesh,Male,Patiala,PB,2023-05-31,None,26
C00009,Prem,Male,Jalandhar,PB,2025-01-20,Platinum,68
C00010,Briti,Female,Palghar,MH,2025-01-28,Silver,22
C00011,Brijesh,Male,Mysuru,KA,2023-01-13,None,45
C00012,Sakhshi,Female,Udaipur,RJ,2023-04-09,None,33
C00013,Prince,Male,Palghar,MH,2023-03-26,Platinum,56
C00014,Sakhshi,Female,Mysuru,KA,2023-07-28,Gold,58
C00015,Param,Male,Palghar,MH,2025-01-30,None,32
C00016,Dhriti,Female,Jalandhar,PB,2024-08-27,Silver,32
C00017,Dhriti,Female,Belagavi,KA,2024-05-25,Silver,32
C00018,Sakhshi,Female,Nashik,MH,2023-06-08,Platinum,61
C00019,Sourabh,Male,Patiala,PB,2023-12-24,Gold,24
C00020,Dhoni,Male,Pune,MH,2024-04-04,Platinum,44
C00021,Briti,Female,Palghar,MH,2025-05-13,Silver,33
C00022,Anamika,Female,Hubballi-Dharwad,KA,2023-03-29,Platinum,68
C00023,Brijesh,Male,Thane,MH,2023-12-20,Platinum,50
C00024,Aarti,Female,Hubballi-Dharwad,KA,2023-11-05,Silver,64
C00025,Brijesh,Male,Udaipur,RJ,2023-02-12,Silver,44
C00026,Anamika,Female,Jalandhar,PB,2024-01-17,None,52
C00027,Sharda,Female,Belagavi,KA,2025-05-31,Gold,62
C00028,Sourabh,Male,Patiala,PB,2024-02-21,Platinum,41
C00029,Dhoni,Male,Mysuru,KA,2023-01-12,Gold,43
